PID,Task,first_time,last_time,total_time,total_time_ms
101,T1,03:07:26PM,03:12:12PM,0 days 00:04:46.226000,286226.0
101,T2,03:17:53PM,03:23:21PM,0 days 00:05:28.243000,328243.0
101,T3,03:27:05PM,03:30:14PM,0 days 00:03:08.809000,188809.0
101,T4,03:32:53PM,03:36:28PM,0 days 00:03:35.249000,215249.0
101,T5,03:38:56PM,03:41:41PM,0 days 00:02:45.494000,165494.0
101,T6,03:43:09PM,03:45:54PM,0 days 00:02:45.048000,165048.0
102,T1,03:05:55PM,03:16:32PM,0 days 00:10:36.814000,636814.0
102,T2,03:20:40PM,03:37:14PM,0 days 00:16:33.832000,993832.0
102,T3,03:40:06PM,03:42:28PM,0 days 00:02:22.140000,142140.0
102,T4,03:44:27PM,03:50:24PM,0 days 00:05:56.461000,356461.0
102,T5,03:52:50PM,03:56:00PM,0 days 00:03:10.540000,190540.0
102,T6,03:57:39PM,04:01:30PM,0 days 00:03:50.633000,230633.0
103,T1,04:58:44PM,05:02:34PM,0 days 00:03:49.455000,229455.0
103,T2,05:05:56PM,05:13:49PM,0 days 00:07:53.126000,473126.0
103,T3,05:19:24PM,05:26:16PM,0 days 00:06:52.627000,412627.0
103,T4,05:32:33PM,05:38:47PM,0 days 00:06:13.855000,373855.0
103,T5,05:42:04PM,05:49:50PM,0 days 00:07:45.587000,465587.0
103,T6,05:53:58PM,05:57:13PM,0 days 00:03:15.148000,195148.0
104,T1,07:24:33PM,07:26:38PM,0 days 00:02:04.282000,124282.0
104,T2,07:30:53PM,07:37:54PM,0 days 00:07:00.714000,420714.0
104,T3,07:39:17PM,07:45:50PM,0 days 00:06:33.057000,393057.0
104,T4,07:47:05PM,07:53:31PM,0 days 00:06:25.940000,385940.0
104,T5,07:57:04PM,08:06:10PM,0 days 00:09:06.232000,546232.0
104,T6,08:21:06PM,08:30:16PM,0 days 00:09:10.021000,550021.0
105,T1,02:10:38PM,02:21:22PM,0 days 00:10:44.312000,644312.0
105,T2,02:27:55PM,02:36:56PM,0 days 00:09:00.317000,540317.0
105,T3,02:39:05PM,02:50:22PM,0 days 00:11:17.057000,677057.0
