PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,TotalFixationTime,AvgFixationDuration
101,T1,9,bug_total,0,0,1,147,92414,628.6666666666666
101,T1,9,bug_priority,1,0,1,0,0,NA
101,T1,9,bug_author,2,0,1,18,10742,596.7777777777778
101,T1,9,bug_summary,3,0,1,73,43852,600.7123287671233
101,T1,9,bug_patch_code,4,0,1,56,37820,675.3571428571429
101,T2,2,bug_total,0,1,0,162,106765,659.0432098765432
101,T2,2,bug_priority,1,1,0,0,0,NA
101,T2,2,bug_author,2,1,0,10,10194,1019.4
101,T2,2,bug_summary,3,1,0,20,10557,527.85
101,T2,2,bug_patch_code,4,1,0,124,81999,661.2822580645161
101,T3,8,bug_total,0,1,1,110,100785,916.2272727272727
101,T3,8,bug_priority,1,1,1,0,0,NA
101,T3,8,bug_author,2,1,1,7,5169,738.4285714285714
101,T3,8,bug_summary,3,1,1,17,24446,1438.0
101,T3,8,bug_patch_code,4,1,1,83,70060,844.0963855421687
101,T4,15,bug_total,0,1,0,111,97538,878.7207207207207
101,T4,15,bug_priority,1,1,0,2,1173,586.5
101,T4,15,bug_author,2,1,0,14,11678,834.1428571428571
101,T4,15,bug_summary,3,1,0,6,2338,389.6666666666667
101,T4,15,bug_patch_code,4,1,0,80,78037,975.4625
101,T5,18,bug_total,0,1,1,102,66983,656.6960784313726
101,T5,18,bug_priority,1,1,1,2,721,360.5
101,T5,18,bug_author,2,1,1,8,6274,784.25
101,T5,18,bug_summary,3,1,1,7,4074,582.0
101,T5,18,bug_patch_code,4,1,1,51,33283,652.6078431372549
101,T6,23,bug_total,0,0,1,89,60806,683.2134831460675
101,T6,23,bug_priority,1,0,1,2,450,225.0
101,T6,23,bug_author,2,0,1,30,24264,808.8
101,T6,23,bug_summary,3,0,1,29,14100,486.2068965517241
101,T6,23,bug_patch_code,4,0,1,19,12856,676.6315789473684
