PID,core_times,x,y,duration
106,1682440045616,304.0,370.0,8.0
106,1682440045624,303.0,368.0,6.0
106,1682440045630,301.0,371.0,8.0
106,1682440045638,300.0,375.0,11.0
106,1682440045649,299.0,373.0,8.0
106,1682440045657,300.0,373.0,8.0
106,1682440045665,306.0,374.0,9.0
106,1682440045674,310.0,377.0,8.0
106,1682440045682,304.0,371.0,8.0
106,1682440045690,305.0,374.0,9.0
106,1682440045699,304.0,379.0,8.0
106,1682440045707,299.0,381.0,9.0
106,1682440045716,299.0,383.0,8.0
106,1682440045724,299.0,382.0,8.0
106,1682440045732,304.0,385.0,9.0
106,1682440045741,314.0,384.0,8.0
106,1682440045749,313.0,391.0,9.0
106,1682440045758,314.0,389.0,7.0
106,1682440045765,314.0,388.0,9.0
106,1682440045774,303.0,385.0,8.0
106,1682440045782,298.0,383.0,7.0
106,1682440045789,313.0,395.0,8.0
106,1682440045797,305.0,387.0,11.0
106,1682440045808,295.0,375.0,8.0
106,1682440045816,297.0,373.0,8.0
106,1682440045824,298.0,375.0,7.0
106,1682440045831,309.0,386.0,8.0
106,1682440045839,309.0,378.0,11.0
106,1682440045850,312.0,384.0,8.0
106,1682440045858,314.0,384.0,8.0
106,1682440045866,312.0,384.0,9.0
106,1682440045875,300.0,370.0,8.0
106,1682440045883,297.0,368.0,8.0
106,1682440045891,298.0,361.0,9.0
106,1682440045900,299.0,365.0,8.0
106,1682440045908,304.0,370.0,8.0
106,1682440045916,301.0,371.0,8.0
106,1682440045924,300.0,374.0,8.0
106,1682440045932,296.0,370.0,9.0
106,1682440045941,298.0,373.0,9.0
106,1682440045950,302.0,373.0,8.0
106,1682440045958,307.0,383.0,8.0
106,1682440045966,370.0,467.0,9.0
106,1682440045975,430.0,603.0,8.0
106,1682440045983,485.0,748.0,7.0
106,1682440045990,503.0,895.0,8.0
106,1682440045998,508.0,999.0,10.0
106,1682440046008,534.0,1070.0,8.0
106,1682440046016,532.0,1088.0,8.0
106,1682440046024,524.0,1063.0,7.0
