PID,Task,bug_number,AOI,AOI_No,Accuracy_0_1,Accept_Y_N,FxCount,FxRate,TotalFixationTime,AvgFixationDuration,FirstFixation
123,T1,3,Total,A0,1,0,439,1,173079,394.25740318906605,NA
123,T1,3,BugReport,A1,1,0,265,0.6036446469248291,109827,414.44150943396227,7974
123,T1,3,RelevantCodeClass,A2,1,0,127,0.28929384965831434,45398,357.46456692913387,7381
123,T1,3,RelevantCodeMethod,A3,1,0,117,0.26651480637813213,41322,353.1794871794872,7381
123,T1,3,RelevantTestClass,A4,1,0,47,0.1070615034168565,17854,379.8723404255319,1
123,T1,3,RelevantTestMethod,A5,1,0,0,0.0,0,NA,NA
123,T1,3,Others,A6,1,0,0,0.0,0,NA,NA
123,T2,14,Total,A0,1,1,519,1,201844,388.9094412331407,NA
123,T2,14,BugReport,A1,1,1,299,0.5761078998073218,120606,403.3645484949833,1
123,T2,14,RelevantCodeClass,A2,1,1,154,0.29672447013487474,59298,385.05194805194805,11452
123,T2,14,RelevantCodeMethod,A3,1,1,59,0.11368015414258188,24312,412.06779661016947,64932
123,T2,14,RelevantTestClass,A4,1,1,66,0.12716763005780346,21940,332.42424242424244,3876
123,T2,14,RelevantTestMethod,A5,1,1,11,0.02119460500963391,3383,307.54545454545456,8412
123,T2,14,Others,A6,1,1,0,0.0,0,NA,NA
123,T3,7,Total,A0,1,1,326,1,188741,578.9601226993865,NA
123,T3,7,BugReport,A1,1,1,163,0.5,104138,638.8834355828221,19491
123,T3,7,RelevantCodeClass,A2,1,1,126,0.38650306748466257,72083,572.0873015873016,11313
123,T3,7,RelevantCodeMethod,A3,1,1,118,0.3619631901840491,57505,487.3305084745763,11313
123,T3,7,RelevantTestClass,A4,1,1,37,0.11349693251533742,12520,338.3783783783784,1
123,T3,7,RelevantTestMethod,A5,1,1,0,0.0,0,NA,NA
123,T3,7,Others,A6,1,1,0,0.0,0,NA,NA
123,T4,10,Total,A0,0,0,453,1,200764,443.1876379690949,NA
123,T4,10,BugReport,A1,0,0,311,0.6865342163355408,146721,471.7717041800643,4068
123,T4,10,RelevantCodeClass,A2,0,0,68,0.15011037527593818,31629,465.13235294117646,32731
123,T4,10,RelevantCodeMethod,A3,0,0,36,0.07947019867549669,21303,591.75,41834
123,T4,10,RelevantTestClass,A4,0,0,74,0.16335540838852097,22414,302.8918918918919,1
123,T4,10,RelevantTestMethod,A5,0,0,8,0.017660044150110375,1668,208.5,3612
123,T4,10,Others,A6,0,0,0,0.0,0,NA,NA
123,T5,24,Total,A0,0,0,355,1,181665,511.7323943661972,NA
123,T5,24,BugReport,A1,0,0,220,0.6197183098591549,101496,461.3454545454546,1
123,T5,24,RelevantCodeClass,A2,0,0,123,0.3464788732394366,74311,604.1544715447154,26309
123,T5,24,RelevantCodeMethod,A3,0,0,119,0.3352112676056338,73149,614.6974789915967,26309
123,T5,24,RelevantTestClass,A4,0,0,12,0.03380281690140845,5858,488.1666666666667,21712
123,T5,24,RelevantTestMethod,A5,0,0,3,0.008450704225352112,1535,511.6666666666667,21712
123,T5,24,Others,A6,0,0,0,0.0,0,NA,NA
123,T6,17,Total,A0,1,0,557,1,302721,543.4847396768403,NA
123,T6,17,BugReport,A1,1,0,292,0.5242369838420108,124038,424.78767123287673,21120
123,T6,17,RelevantCodeClass,A2,1,0,182,0.3267504488330341,149798,823.065934065934,43761
123,T6,17,RelevantCodeMethod,A3,1,0,41,0.07360861759425494,17226,420.1463414634146,72354
123,T6,17,RelevantTestClass,A4,1,0,83,0.1490125673249551,28885,348.0120481927711,1
123,T6,17,RelevantTestMethod,A5,1,0,57,0.10233393177737882,20482,359.3333333333333,176
123,T6,17,Others,A6,1,0,0,0.0,0,NA,NA
