PID,Age,Gender,Ethnicity,Language,Class_attending,Q8_Code_experience_1_to_10,Q10_years_coding_1_to_10,Q11_OOP_experience_1_to_10,Q12_Java_experience_1_to_10,Author_impact_Y_N,Urgency_impact_Y_N,Task_difficulty,Task,bug_number,AOI,AOI_No,Priority_Low_High,Expertise_Expert_Novice,Accuracy_0_1,Coding_Style_1_to_5,Readability_1_to_5,Summary_1_to_5,Functionality_1_to_5,Patch_Quality_1_to_5,Accept_Y_N,Trust_1_5,FxCount,FxRate,TotalFixationTime,AvgFixationDuration,FirstFixation
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T1,2,Total,A0,0,0,1,4.0,4.0,3.0,3.0,4.0,Yes,4.0,412,1,222031,538.9101941747573,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T1,2,BugReport,A1,0,0,1,4.0,4.0,3.0,3.0,4.0,Yes,4.0,129,0.3131067961165049,63437,491.7596899224806,34863
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T1,2,RelevantCodeClass,A2,0,0,1,4.0,4.0,3.0,3.0,4.0,Yes,4.0,180,0.4368932038834951,94894,527.1888888888889,1
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T1,2,RelevantCodeMethod,A3,0,0,1,4.0,4.0,3.0,3.0,4.0,Yes,4.0,158,0.38349514563106796,84729,536.2594936708861,1
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T1,2,RelevantTestClass,A4,0,0,1,4.0,4.0,3.0,3.0,4.0,Yes,4.0,103,0.25,63700,618.4466019417475,36707
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T1,2,RelevantTestMethod,A5,0,0,1,4.0,4.0,3.0,3.0,4.0,Yes,4.0,0,0.0,0,NA,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T1,2,Others,A6,0,0,1,4.0,4.0,3.0,3.0,4.0,Yes,4.0,0,0.0,0,NA,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T2,21,Total,A0,0,0,0,4.0,3.0,3.0,2.0,3.0,No,2.0,533,1,247443,464.24577861163226,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T2,21,BugReport,A1,0,0,0,4.0,3.0,3.0,2.0,3.0,No,2.0,281,0.5272045028142589,141340,502.98932384341634,1
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T2,21,RelevantCodeClass,A2,0,0,0,4.0,3.0,3.0,2.0,3.0,No,2.0,199,0.37335834896810505,81899,411.5527638190955,5297
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T2,21,RelevantCodeMethod,A3,0,0,0,4.0,3.0,3.0,2.0,3.0,No,2.0,138,0.2589118198874296,53633,388.6449275362319,5297
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T2,21,RelevantTestClass,A4,0,0,0,4.0,3.0,3.0,2.0,3.0,No,2.0,53,0.09943714821763602,24204,456.6792452830189,3819
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T2,21,RelevantTestMethod,A5,0,0,0,4.0,3.0,3.0,2.0,3.0,No,2.0,34,0.06378986866791744,14153,416.2647058823529,3819
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T2,21,Others,A6,0,0,0,4.0,3.0,3.0,2.0,3.0,No,2.0,0,0.0,0,NA,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T3,7,Total,A0,0,0,1,4,4,5,4,4,Yes,4,442,1,251769,569.6131221719457,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T3,7,BugReport,A1,0,0,1,4,4,5,4,4,Yes,4,186,0.42081447963800905,110559,594.4032258064516,5454
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T3,7,RelevantCodeClass,A2,0,0,1,4,4,5,4,4,Yes,4,227,0.5135746606334841,123831,545.5110132158591,4828
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T3,7,RelevantCodeMethod,A3,0,0,1,4,4,5,4,4,Yes,4,192,0.4343891402714932,111352,579.9583333333334,4828
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T3,7,RelevantTestClass,A4,0,0,1,4,4,5,4,4,Yes,4,29,0.06561085972850679,17379,599.2758620689655,1
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T3,7,RelevantTestMethod,A5,0,0,1,4,4,5,4,4,Yes,4,0,0.0,0,NA,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T3,7,Others,A6,0,0,1,4,4,5,4,4,Yes,4,0,0.0,0,NA,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T4,9,Total,A0,0,0,0,3.0,2.0,4.0,3.0,2.0,No,2.0,323,1,169127,523.6130030959753,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T4,9,BugReport,A1,0,0,0,3.0,2.0,4.0,3.0,2.0,No,2.0,195,0.6037151702786377,117268,601.374358974359,4880
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T4,9,RelevantCodeClass,A2,0,0,0,3.0,2.0,4.0,3.0,2.0,No,2.0,105,0.32507739938080493,43116,410.62857142857143,1428
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T4,9,RelevantCodeMethod,A3,0,0,0,3.0,2.0,4.0,3.0,2.0,No,2.0,88,0.2724458204334365,39049,443.7386363636364,1659
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T4,9,RelevantTestClass,A4,0,0,0,3.0,2.0,4.0,3.0,2.0,No,2.0,23,0.07120743034055728,8743,380.1304347826087,1
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T4,9,RelevantTestMethod,A5,0,0,0,3.0,2.0,4.0,3.0,2.0,No,2.0,0,0.0,0,NA,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T4,9,Others,A6,0,0,0,3.0,2.0,4.0,3.0,2.0,No,2.0,0,0.0,0,NA,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T5,14,Total,A0,0,0,1,5.0,5.0,4.0,4.0,4.0,Yes,4.0,306,1,191589,626.1078431372549,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T5,14,BugReport,A1,0,0,1,5.0,5.0,4.0,4.0,4.0,Yes,4.0,170,0.5555555555555556,71913,423.0176470588235,3434
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T5,14,RelevantCodeClass,A2,0,0,1,5.0,5.0,4.0,4.0,4.0,Yes,4.0,123,0.4019607843137255,70346,571.9186991869918,3259
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T5,14,RelevantCodeMethod,A3,0,0,1,5.0,5.0,4.0,4.0,4.0,Yes,4.0,21,0.06862745098039216,12000,571.4285714285714,131054
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T5,14,RelevantTestClass,A4,0,0,1,5.0,5.0,4.0,4.0,4.0,Yes,4.0,13,0.042483660130718956,49330,3794.6153846153848,1
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T5,14,RelevantTestMethod,A5,0,0,1,5.0,5.0,4.0,4.0,4.0,Yes,4.0,0,0.0,0,NA,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T5,14,Others,A6,0,0,1,5.0,5.0,4.0,4.0,4.0,Yes,4.0,0,0.0,0,NA,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T6,20,Total,A0,0,0,1,4.0,4.0,4.0,4.0,4.0,Yes,4.0,266,1,505436,1900.1353383458647,NA
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T6,20,BugReport,A1,0,0,1,4.0,4.0,4.0,4.0,4.0,Yes,4.0,135,0.5075187969924813,68771,509.4148148148148,3024
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T6,20,RelevantCodeClass,A2,0,0,1,4.0,4.0,4.0,4.0,4.0,Yes,4.0,120,0.45112781954887216,132062,1100.5166666666667,5158
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T6,20,RelevantCodeMethod,A3,0,0,1,4.0,4.0,4.0,4.0,4.0,Yes,4.0,44,0.16541353383458646,38862,883.2272727272727,98067
127,30-35,Female,Middle Eastern,Persian,Masters/Doctoral,7,4,4,3,No,Yes,7,T6,20,RelevantTestClass,A4,0,0,1,4.0,4.0,4.0,4.0,4.0,Yes,4.0,11,0.041353383458646614,304603,27691.18181818182,1
