fixation_id,fixation_run_id,fixation_start_event_time,fixation_order_number,x,y,fixation_target,source_file_line,source_file_col,token,syntactic_category,xpath,left_pupil_diameter,right_pupil_diameter,duration
5fe146f1-1fa8-4f60-8316-b8b75ed49cf4,1684513438426,133286475161732834,1,593.4,169.067,TimeSeriesTest.java,59,35,,,,2.70173,2.59153,333
67051345-0114-44d4-bcbc-10bdd670ae4e,1684513438426,133286475154728019,2,556.762,744.476,TimeSeriesTest.java,116,30,,,,2.47742,2.26484,167
e42dd805-6e2d-4308-a7b1-1eda900d71ca,1684513438426,133286475150899183,3,634.769,771.923,TimeSeriesTest.java,118,40,,,,2.41164,2.31421,291
4db5196b-c0a6-48d9-a793-7561d88de8e5,1684513438426,133286475141231948,4,760.727,217,TimeSeriesTest.java,81,58,,,,2.77961,2.72297,259
4c8a10bf-a6d5-449a-ad74-76f8a5a856e9,1684513438426,133286475114963312,5,758.737,768.474,TimeSeriesTest.java,118,59,,,,2.69102,2.72611,166
12ab87a5-b793-40b4-bc4d-7898bbe35c93,1684513438426,133286475110989883,6,376.762,258.857,TimeSeriesTest.java,85,4,,,,2.81015,2.78884,341
1273e7ca-c708-4fd0-a0e4-60c005df2470,1684513438426,133286475107393619,7,609.29,584.065,TimeSeriesTest.java,105,37,,,,2.78044,2.76322,251
47d2f818-bb9b-4b3b-bd87-6a699e6aa667,1684513438426,133286475064726895,8,519.5,511,TimeSeriesTest.java,101,26,,,,2.71599,2.65527,192
859fa835-0019-4e1d-9155-c1ef360802ed,1684513438426,133286475055881343,9,384.323,368.226,TimeSeriesTest.java,91,5,,,,2.73338,2.58581,394
10d86137-7886-4ea4-989c-fd2ef84782e8,1684513438426,133286475052982933,10,607.889,568.37,TimeSeriesTest.java,104,37,,,,2.7365,2.52019,216
61419fcc-dc75-41bc-8930-dcba5c17a59a,1684513438426,133286475030565960,11,404.867,372.667,TimeSeriesTest.java,91,8,,,,2.73928,2.615,116
32b0bd67-55c7-474a-89ab-949aacd95ffe,1684513438426,133286475027071151,12,496.645,517.29,TimeSeriesTest.java,101,21,,,,2.74956,2.61575,317
